"serialNumber","vehicleCode","deviceName","protocolType","troubleCodes","engineStatus","odometer","fuelLevel","batteryVoltage","lastEngineDataAt","dataFreshnessStatus"
"CLHQ-DEV-0013","CLHQ-V-0013","Certification GPS-500","GPS","","Moving","40198.2","65.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0014","CLHQ-V-0014","Certification GPS-500","GPS","","Moving","40213.5","65","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0015","CLHQ-V-0015","Certification GPS-500","GPS","","Moving","40228.8","64.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0016","CLHQ-V-0016","Certification GPS-500","GPS","","Moving","40244","64","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0017","CLHQ-V-0017","Certification GPS-500","GPS","","Moving","40259.2","72","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0018","CLHQ-V-0018","Certification GPS-500","GPS","","Moving","40274.5","71.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0019","CLHQ-V-0019","Certification GPS-500","GPS","","Moving","40289.8","71","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0020","CLHQ-V-0020","Certification GPS-500","GPS","","Moving","40305","70.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0021","CLHQ-V-0021","Certification GPS-500","GPS","","Moving","40320.2","70","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0022","CLHQ-V-0022","Certification GPS-500","GPS","","Moving","40335.5","69.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0023","CLHQ-V-0023","Certification GPS-500","GPS","","Moving","40350.8","69","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0024","CLHQ-V-0024","Certification GPS-500","GPS","","Moving","40366","68.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0025","CLHQ-V-0025","Certification GPS-500","GPS","","Moving","40381.2","68","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0026","CLHQ-V-0026","Certification GPS-500","GPS","","Moving","40396.5","67.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0027","CLHQ-V-0027","Certification GPS-500","GPS","","Moving","40411.8","67","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0028","CLHQ-V-0028","Certification GPS-500","GPS","","Moving","40427","66.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0029","CLHQ-V-0029","Certification GPS-500","GPS","","Moving","40442.2","66","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0030","CLHQ-V-0030","Certification GPS-500","GPS","","Moving","40457.5","65.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0031","CLHQ-V-0031","Certification GPS-500","GPS","","Moving","40472.8","65","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0032","CLHQ-V-0032","Certification GPS-500","GPS","","Moving","40488","64.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0033","CLHQ-V-0033","Certification GPS-500","GPS","","Moving","40503.2","64","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0034","CLHQ-V-0034","Certification GPS-500","GPS","","Moving","40518.5","72","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0035","CLHQ-V-0035","Certification GPS-500","GPS","","Moving","40533.8","71.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0036","CLHQ-V-0036","Certification GPS-500","GPS","","Moving","40549","71","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0037","CLHQ-V-0037","Certification GPS-500","GPS","","Moving","40564.2","70.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0038","CLHQ-V-0038","Certification GPS-500","GPS","","Moving","40579.5","70","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0039","CLHQ-V-0039","Certification GPS-500","GPS","","Moving","40594.8","69.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0040","CLHQ-V-0040","Certification GPS-500","GPS","","Moving","40610","69","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0041","CLHQ-V-0041","Certification GPS-500","GPS","","Moving","40625.2","68.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0042","CLHQ-V-0042","Certification GPS-500","GPS","","Moving","40640.5","68","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0043","CLHQ-V-0043","Certification GPS-500","GPS","","Moving","40655.8","67.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0044","CLHQ-V-0044","Certification GPS-500","GPS","","Moving","40671","67","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0045","CLHQ-V-0045","Certification GPS-500","GPS","","Moving","40686.2","66.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0046","CLHQ-V-0046","Certification GPS-500","GPS","","Moving","40701.5","66","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0047","CLHQ-V-0047","Certification GPS-500","GPS","","Moving","40716.8","65.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0048","CLHQ-V-0048","Certification GPS-500","GPS","","Moving","40732","65","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0049","CLHQ-V-0049","Certification GPS-500","GPS","","Moving","40747.2","64.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0050","CLHQ-V-0050","Certification GPS-500","GPS","","Moving","40762.5","64","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0051","CLHQ-V-0051","Certification GPS-500","GPS","","Moving","40777.8","72","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0052","CLHQ-V-0052","Certification GPS-500","GPS","","Moving","40793","71.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0053","CLHQ-V-0053","Certification GPS-500","GPS","","Moving","40808.2","71","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0054","CLHQ-V-0054","Certification GPS-500","GPS","","Moving","40823.5","70.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0055","CLHQ-V-0055","Certification GPS-500","GPS","","Moving","40838.8","70","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0056","CLHQ-V-0056","Certification GPS-500","GPS","","Moving","40854","69.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0057","CLHQ-V-0057","Certification GPS-500","GPS","","Moving","40869.2","69","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0058","CLHQ-V-0058","Certification GPS-500","GPS","","Moving","40884.5","68.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0059","CLHQ-V-0059","Certification GPS-500","GPS","","Moving","40899.8","68","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0060","CLHQ-V-0060","Certification GPS-500","GPS","","Moving","40915","67.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0061","CLHQ-V-0061","Certification GPS-500","GPS","","Moving","40930.2","67","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0062","CLHQ-V-0062","Certification GPS-500","GPS","","Moving","40945.5","66.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0063","CLHQ-V-0063","Certification GPS-500","GPS","","Moving","40960.8","66","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0064","CLHQ-V-0064","Certification GPS-500","GPS","","Moving","40976","65.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0065","CLHQ-V-0065","Certification GPS-500","GPS","","Moving","40991.2","65","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0066","CLHQ-V-0066","Certification GPS-500","GPS","","Moving","41006.5","64.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0067","CLHQ-V-0067","Certification GPS-500","GPS","","Moving","41021.8","64","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0068","CLHQ-V-0068","Certification GPS-500","GPS","","Moving","41037","72","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0069","CLHQ-V-0069","Certification GPS-500","GPS","","Moving","41052.2","71.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0070","CLHQ-V-0070","Certification GPS-500","GPS","","Moving","41067.5","71","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0071","CLHQ-V-0071","Certification GPS-500","GPS","","Moving","41082.8","70.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0072","CLHQ-V-0072","Certification GPS-500","GPS","","Moving","41098","70","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0073","CLHQ-V-0073","Certification GPS-500","GPS","","Moving","41113.2","69.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0074","CLHQ-V-0074","Certification GPS-500","GPS","","Moving","41128.5","69","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0075","CLHQ-V-0075","Certification GPS-500","GPS","","Moving","41143.8","68.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0076","CLHQ-V-0076","Certification GPS-500","GPS","","Moving","41159","68","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0077","CLHQ-V-0077","Certification GPS-500","GPS","","Moving","41174.2","67.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0078","CLHQ-V-0078","Certification GPS-500","GPS","","Moving","41189.5","67","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0079","CLHQ-V-0079","Certification GPS-500","GPS","","Moving","41204.8","66.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0080","CLHQ-V-0080","Certification GPS-500","GPS","","Moving","41220","66","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0081","CLHQ-V-0081","Certification GPS-500","GPS","","Moving","41235.2","65.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0082","CLHQ-V-0082","Certification GPS-500","GPS","","Moving","41250.5","65","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0083","CLHQ-V-0083","Certification GPS-500","GPS","","Moving","41265.8","64.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0084","CLHQ-V-0084","Certification GPS-500","GPS","","Moving","41281","64","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0085","CLHQ-V-0085","Certification GPS-500","GPS","","Moving","41296.2","72","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0086","CLHQ-V-0086","Certification GPS-500","GPS","","Moving","41311.5","71.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0087","CLHQ-V-0087","Certification GPS-500","GPS","","Moving","41326.8","71","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0088","CLHQ-V-0088","Certification GPS-500","GPS","","Moving","41342","70.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0089","CLHQ-V-0089","Certification GPS-500","GPS","","Moving","41357.2","70","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0090","CLHQ-V-0090","Certification GPS-500","GPS","","Moving","41372.5","69.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0091","CLHQ-V-0091","Certification GPS-500","GPS","","Moving","41387.8","69","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0092","CLHQ-V-0092","Certification GPS-500","GPS","","Moving","41403","68.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0093","CLHQ-V-0093","Certification GPS-500","GPS","","Moving","41418.2","68","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0094","CLHQ-V-0094","Certification GPS-500","GPS","","Moving","41433.5","67.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0095","CLHQ-V-0095","Certification GPS-500","GPS","","Moving","41448.8","67","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0096","CLHQ-V-0096","Certification GPS-500","GPS","","Moving","41464","66.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0097","CLHQ-V-0097","Certification GPS-500","GPS","","Moving","41479.2","66","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0098","CLHQ-V-0098","Certification GPS-500","GPS","","Moving","41494.5","65.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0099","CLHQ-V-0099","Certification GPS-500","GPS","","Moving","41509.8","65","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0100","CLHQ-V-0100","Certification GPS-500","GPS","","Moving","41525","64.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0101","CLHQ-V-0101","Certification GPS-500","GPS","","Moving","41540.2","64","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0102","CLHQ-V-0102","Certification GPS-500","GPS","","Moving","41555.5","72","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0103","CLHQ-V-0103","Certification GPS-500","GPS","","Moving","41570.8","71.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0104","CLHQ-V-0104","Certification GPS-500","GPS","","Moving","41586","71","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0105","CLHQ-V-0105","Certification GPS-500","GPS","","Moving","41601.2","70.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0106","CLHQ-V-0106","Certification GPS-500","GPS","","Moving","41616.5","70","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0107","CLHQ-V-0107","Certification GPS-500","GPS","","Moving","41631.8","69.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0108","CLHQ-V-0108","Certification GPS-500","GPS","","Moving","41647","69","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0109","CLHQ-V-0109","Certification GPS-500","GPS","","Moving","41662.2","68.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0110","CLHQ-V-0110","Certification GPS-500","GPS","","Moving","41677.5","68","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0111","CLHQ-V-0111","Certification GPS-500","GPS","","Moving","41692.8","67.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0112","CLHQ-V-0112","Certification GPS-500","GPS","","Moving","41708","67","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0113","CLHQ-V-0113","Certification GPS-500","GPS","","Moving","41723.2","66.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0114","CLHQ-V-0114","Certification GPS-500","GPS","","Moving","41738.5","66","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0115","CLHQ-V-0115","Certification GPS-500","GPS","","Moving","41753.8","65.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0116","CLHQ-V-0116","Certification GPS-500","GPS","","Moving","41769","65","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0117","CLHQ-V-0117","Certification GPS-500","GPS","","Moving","41784.2","64.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0118","CLHQ-V-0118","Certification GPS-500","GPS","","Moving","41799.5","64","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0119","CLHQ-V-0119","Certification GPS-500","GPS","","Moving","41814.8","72","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0120","CLHQ-V-0120","Certification GPS-500","GPS","","Moving","41830","71.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0121","CLHQ-V-0121","Certification GPS-500","GPS","","Moving","41845.2","71","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0122","CLHQ-V-0122","Certification GPS-500","GPS","","Moving","41860.5","70.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0123","CLHQ-V-0123","Certification GPS-500","GPS","","Moving","41875.8","70","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0124","CLHQ-V-0124","Certification GPS-500","GPS","","Moving","41891","69.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0125","CLHQ-V-0125","Certification GPS-500","GPS","","Moving","41906.2","69","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0126","CLHQ-V-0126","Certification GPS-500","GPS","","Moving","41921.5","68.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0127","CLHQ-V-0127","Certification GPS-500","GPS","","Moving","41936.8","68","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0128","CLHQ-V-0128","Certification GPS-500","GPS","","Moving","41952","67.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0129","CLHQ-V-0129","Certification GPS-500","GPS","","Moving","41967.2","67","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0130","CLHQ-V-0130","Certification GPS-500","GPS","","Moving","41982.5","66.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0131","CLHQ-V-0131","Certification GPS-500","GPS","","Moving","41997.8","66","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0132","CLHQ-V-0132","Certification GPS-500","GPS","","Moving","42013","65.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0133","CLHQ-V-0133","Certification GPS-500","GPS","","Moving","42028.2","65","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0134","CLHQ-V-0134","Certification GPS-500","GPS","","Moving","42043.5","64.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0135","CLHQ-V-0135","Certification GPS-500","GPS","","Moving","42058.8","64","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0136","CLHQ-V-0136","Certification GPS-500","GPS","","Moving","42074","72","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0137","CLHQ-V-0137","Certification GPS-500","GPS","","Moving","42089.2","71.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0138","CLHQ-V-0138","Certification GPS-500","GPS","","Moving","42104.5","71","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0139","CLHQ-V-0139","Certification GPS-500","GPS","","Moving","42119.8","70.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0140","CLHQ-V-0140","Certification GPS-500","GPS","","Moving","42135","70","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0141","CLHQ-V-0141","Certification GPS-500","GPS","","Moving","42147.1","69.5","13.8","2026-08-28T07:38:41Z","Stale"
"CLHQ-DEV-0142","CLHQ-V-0142","Certification GPS-500","GPS","","Moving","42159.1","69","13.8","2026-08-28T07:38:41Z","Stale"
"CLHQ-DEV-0143","CLHQ-V-0143","Certification GPS-500","GPS","","Moving","42171.2","68.5","13.8","2026-08-28T07:38:41Z","Stale"
"CLHQ-DEV-0144","CLHQ-V-0144","Certification GPS-500","GPS","","Moving","42183.2","68","13.8","2026-08-28T07:38:41Z","Stale"
"CLHQ-DEV-0145","CLHQ-V-0145","Certification GPS-500","GPS","","Moving","42195.2","67.5","13.8","2026-08-28T07:38:41Z","Stale"
"CLHQ-DEV-0146","CLHQ-V-0146","Certification GPS-500","GPS","","Moving","42207.3","67","13.8","2026-08-28T07:38:41Z","Stale"
"CLHQ-DEV-0147","CLHQ-V-0147","Certification GPS-500","GPS","","Moving","42219.3","66.5","13.8","2026-08-28T07:38:41Z","Stale"
"CLHQ-DEV-0148","CLHQ-V-0148","Certification GPS-500","GPS","","Moving","42231.4","66","13.8","2026-08-28T07:38:41Z","Stale"
"CLHQ-DEV-0149","CLHQ-V-0149","Certification GPS-500","GPS","","Moving","42243.4","65.5","13.8","2026-08-28T07:38:41Z","Stale"
"CLHQ-DEV-0150","CLHQ-V-0150","Certification GPS-500","GPS","","Moving","42255.5","65","13.8","2026-08-28T07:38:41Z","Stale"
"CLHQ-DEV-0151","CLHQ-V-0151","Certification GPS-500","GPS","","Moving","42267.6","64.5","13.8","2026-08-28T07:38:41Z","Stale"
"CLHQ-DEV-0152","CLHQ-V-0152","Certification GPS-500","GPS","","Moving","42279.6","64","13.8","2026-08-28T07:38:41Z","Stale"
"CLHQ-DEV-0153","CLHQ-V-0153","Certification GPS-500","GPS","","Moving","42291.7","72","13.8","2026-08-28T07:38:41Z","Stale"
"CLHQ-DEV-0154","CLHQ-V-0154","Certification GPS-500","GPS","","Moving","42303.7","71.5","13.8","2026-08-28T07:38:41Z","Stale"
"CLHQ-DEV-0155","CLHQ-V-0155","Certification GPS-500","GPS","","Moving","42315.8","71","13.8","2026-08-28T07:38:41Z","Stale"
"CLHQ-DEV-0156","CLHQ-V-0156","Certification GPS-500","GPS","","Moving","42327.8","70.5","13.8","2026-08-28T07:38:41Z","Stale"
"CLHQ-DEV-0157","CLHQ-V-0157","Certification GPS-500","GPS","","Moving","42339.8","70","13.8","2026-08-28T07:38:41Z","Stale"
"CLHQ-DEV-0158","CLHQ-V-0158","Certification GPS-500","GPS","","Moving","42351.9","69.5","13.8","2026-08-28T07:38:41Z","Stale"
"CLHQ-DEV-0159","CLHQ-V-0159","Certification GPS-500","GPS","","Moving","42363.9","69","13.8","2026-08-28T07:38:41Z","Stale"
"CLHQ-DEV-0160","CLHQ-V-0160","Certification GPS-500","GPS","","Moving","42376","68.5","13.8","2026-08-28T07:38:41Z","Stale"
"CLHQ-DEV-0161","CLHQ-V-0161","Certification GPS-500","GPS","","Moving","42388.1","68","13.8","2026-08-28T07:21:41Z","Stale"
"CLHQ-DEV-0162","CLHQ-V-0162","Certification GPS-500","GPS","","Moving","42400.1","67.5","13.8","2026-08-28T07:21:41Z","Stale"
"CLHQ-DEV-0163","CLHQ-V-0163","Certification GPS-500","GPS","","Moving","42412.2","67","13.8","2026-08-28T07:21:41Z","Stale"
"CLHQ-DEV-0164","CLHQ-V-0164","Certification GPS-500","GPS","","Moving","42424.2","66.5","13.8","2026-08-28T07:21:41Z","Stale"
"CLHQ-DEV-0165","CLHQ-V-0165","Certification GPS-500","GPS","","Moving","42436.2","66","13.8","2026-08-28T07:21:41Z","Stale"
"CLHQ-DEV-0166","CLHQ-V-0166","Certification GPS-500","GPS","","Moving","42448.3","65.5","13.8","2026-08-28T07:21:41Z","Stale"
"CLHQ-DEV-0167","CLHQ-V-0167","Certification GPS-500","GPS","","Moving","42460.3","65","13.8","2026-08-28T07:21:41Z","Stale"
"CLHQ-DEV-0168","CLHQ-V-0168","Certification GPS-500","GPS","","Moving","42472.4","64.5","13.8","2026-08-28T07:21:41Z","Stale"
"CLHQ-DEV-0169","CLHQ-V-0169","Certification GPS-500","GPS","","Moving","42484.4","64","13.8","2026-08-28T07:21:41Z","Stale"
"CLHQ-DEV-0170","CLHQ-V-0170","Certification GPS-500","GPS","","Moving","42496.5","72","13.8","2026-08-28T07:21:41Z","Stale"
"CLHQ-DEV-0171","CLHQ-V-0171","Certification GPS-500","GPS","","Moving","42508.6","71.5","13.8","2026-08-28T07:21:41Z","Stale"
"CLHQ-DEV-0172","CLHQ-V-0172","Certification GPS-500","GPS","","Moving","42520.6","71","13.8","2026-08-28T07:21:41Z","Stale"
"CLHQ-DEV-0173","CLHQ-V-0173","Certification GPS-500","GPS","","Moving","42532.7","70.5","13.8","2026-08-28T07:21:41Z","Stale"
"CLHQ-DEV-0174","CLHQ-V-0174","Certification GPS-500","GPS","","Moving","42544.7","70","13.8","2026-08-28T07:21:41Z","Stale"
"CLHQ-DEV-0175","CLHQ-V-0175","Certification GPS-500","GPS","","Moving","42556.8","69.5","13.8","2026-08-28T07:21:41Z","Stale"
"CLHQ-DEV-0176","CLHQ-V-0176","Certification GPS-500","GPS","","Moving","42568.4","69","13.8","2026-08-28T07:26:41Z","Stale"
"CLHQ-DEV-0177","CLHQ-V-0177","Certification GPS-500","GPS","","Moving","42580.1","68.5","13.8","2026-08-28T07:26:41Z","Stale"
"CLHQ-DEV-0178","CLHQ-V-0178","Certification GPS-500","GPS","","Moving","42591.7","68","13.8","2026-08-28T07:26:41Z","Stale"
"CLHQ-DEV-0179","CLHQ-V-0179","Certification GPS-500","GPS","","Moving","42603.3","67.5","13.8","2026-08-28T07:26:41Z","Stale"
"CLHQ-DEV-0180","CLHQ-V-0180","Certification GPS-500","GPS","","Moving","42615","67","13.8","2026-08-28T07:26:41Z","Stale"
"CLHQ-DEV-0181","CLHQ-V-0181","Certification GPS-500","GPS","","Moving","42626.7","66.5","13.8","2026-08-28T07:26:41Z","Stale"
"CLHQ-DEV-0182","CLHQ-V-0182","Certification GPS-500","GPS","","Moving","42638.3","66","13.8","2026-08-28T07:26:41Z","Stale"
"CLHQ-DEV-0183","CLHQ-V-0183","Certification GPS-500","GPS","","Moving","42649.9","65.5","13.8","2026-08-28T07:26:41Z","Stale"
"CLHQ-DEV-0184","CLHQ-V-0184","Certification GPS-500","GPS","","Moving","42661.6","65","13.8","2026-08-28T07:26:41Z","Stale"
"CLHQ-DEV-0185","CLHQ-V-0185","Certification GPS-500","GPS","","Moving","42673.2","64.5","13.8","2026-08-28T07:26:41Z","Stale"
