assetTag,branchCode,name,assetTypeCode,status,currentLocation,condition,isReturnable,quantity,unitOfMeasure,notes,lastSeenAtUtc,createdAtUtc
CLHQ-TRL-0016,CL-HQ,Certification Trailer CLHQ 0016,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0016,,08/26/2026 01:46:31
CLHQ-TRL-0017,CL-HQ,Certification Trailer CLHQ 0017,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0017,,08/26/2026 01:46:31
CLHQ-TRL-0018,CL-HQ,Certification Trailer CLHQ 0018,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0018,,08/26/2026 01:46:31
CLHQ-TRL-0019,CL-HQ,Certification Trailer CLHQ 0019,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0019,,08/26/2026 01:46:31
CLHQ-TRL-0020,CL-HQ,Certification Trailer CLHQ 0020,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0020,,08/26/2026 01:46:31
CLHQ-TRL-0021,CL-HQ,Certification Trailer CLHQ 0021,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0021,,08/26/2026 01:46:31
CLHQ-TRL-0022,CL-HQ,Certification Trailer CLHQ 0022,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0022,,08/26/2026 01:46:31
CLHQ-TRL-0023,CL-HQ,Certification Trailer CLHQ 0023,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0023,,08/26/2026 01:46:31
CLHQ-TRL-0024,CL-HQ,Certification Trailer CLHQ 0024,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0024,,08/26/2026 01:46:31
CLHQ-TRL-0025,CL-HQ,Certification Trailer CLHQ 0025,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0025,,08/26/2026 01:46:31
CLHQ-TRL-0026,CL-HQ,Certification Trailer CLHQ 0026,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0026,,08/26/2026 01:46:31
CLHQ-TRL-0027,CL-HQ,Certification Trailer CLHQ 0027,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0027,,08/26/2026 01:46:31
CLHQ-TRL-0028,CL-HQ,Certification Trailer CLHQ 0028,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0028,,08/26/2026 01:46:31
CLHQ-TRL-0029,CL-HQ,Certification Trailer CLHQ 0029,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0029,,08/26/2026 01:46:31
CLHQ-TRL-0030,CL-HQ,Certification Trailer CLHQ 0030,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0030,,08/26/2026 01:46:31
CLHQ-TRL-0031,CL-HQ,Certification Trailer CLHQ 0031,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0031,,08/26/2026 01:46:31
CLHQ-TRL-0032,CL-HQ,Certification Trailer CLHQ 0032,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0032,,08/26/2026 01:46:31
CLHQ-TRL-0033,CL-HQ,Certification Trailer CLHQ 0033,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0033,,08/26/2026 01:46:31
CLHQ-TRL-0034,CL-HQ,Certification Trailer CLHQ 0034,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0034,,08/26/2026 01:46:31
CLHQ-TRL-0035,CL-HQ,Certification Trailer CLHQ 0035,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0035,,08/26/2026 01:46:31
CLHQ-TRL-0036,CL-HQ,Certification Trailer CLHQ 0036,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0036,,08/26/2026 01:46:31
CLHQ-TRL-0037,CL-HQ,Certification Trailer CLHQ 0037,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0037,,08/26/2026 01:46:31
CLHQ-TRL-0038,CL-HQ,Certification Trailer CLHQ 0038,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0038,,08/26/2026 01:46:31
CLHQ-TRL-0039,CL-HQ,Certification Trailer CLHQ 0039,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0039,,08/26/2026 01:46:31
CLHQ-TRL-0040,CL-HQ,Certification Trailer CLHQ 0040,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0040,,08/26/2026 01:46:31
CLHQ-TRL-0041,CL-HQ,Certification Trailer CLHQ 0041,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0041,,08/26/2026 01:46:31
CLHQ-TRL-0042,CL-HQ,Certification Trailer CLHQ 0042,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0042,,08/26/2026 01:46:31
CLHQ-TRL-0043,CL-HQ,Certification Trailer CLHQ 0043,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0043,,08/26/2026 01:46:31
CLHQ-TRL-0044,CL-HQ,Certification Trailer CLHQ 0044,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0044,,08/26/2026 01:46:31
CLHQ-TRL-0045,CL-HQ,Certification Trailer CLHQ 0045,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0045,,08/26/2026 01:46:31
CLHQ-TRL-0046,CL-HQ,Certification Trailer CLHQ 0046,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0046,,08/26/2026 01:46:31
CLHQ-TRL-0047,CL-HQ,Certification Trailer CLHQ 0047,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0047,,08/26/2026 01:46:31
CLHQ-TRL-0048,CL-HQ,Certification Trailer CLHQ 0048,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0048,,08/26/2026 01:46:31
CLHQ-TRL-0049,CL-HQ,Certification Trailer CLHQ 0049,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0049,,08/26/2026 01:46:31
CLHQ-TRL-0050,CL-HQ,Certification Trailer CLHQ 0050,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0050,,08/26/2026 01:46:31
CLHQ-TRL-0051,CL-HQ,Certification Trailer CLHQ 0051,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0051,,08/26/2026 01:46:31
CLHQ-TRL-0052,CL-HQ,Certification Trailer CLHQ 0052,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0052,,08/26/2026 01:46:31
CLHQ-TRL-0053,CL-HQ,Certification Trailer CLHQ 0053,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0053,,08/26/2026 01:46:31
CLHQ-TRL-0054,CL-HQ,Certification Trailer CLHQ 0054,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0054,,08/26/2026 01:46:31
CLHQ-TRL-0055,CL-HQ,Certification Trailer CLHQ 0055,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0055,,08/26/2026 01:46:31
CLHQ-TRL-0056,CL-HQ,Certification Trailer CLHQ 0056,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0056,,08/26/2026 01:46:31
CLHQ-TRL-0057,CL-HQ,Certification Trailer CLHQ 0057,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0057,,08/26/2026 01:46:31
CLHQ-TRL-0058,CL-HQ,Certification Trailer CLHQ 0058,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0058,,08/26/2026 01:46:31
CLHQ-TRL-0059,CL-HQ,Certification Trailer CLHQ 0059,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0059,,08/26/2026 01:46:31
CLHQ-TRL-0060,CL-HQ,Certification Trailer CLHQ 0060,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0060,,08/26/2026 01:46:31
MWYARD-TRL-0001,MW-YARD,Certification Trailer MWYARD 0001,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0001,,08/26/2026 01:52:09
MWYARD-TRL-0002,MW-YARD,Certification Trailer MWYARD 0002,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0002,,08/26/2026 01:52:09
MWYARD-TRL-0003,MW-YARD,Certification Trailer MWYARD 0003,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0003,,08/26/2026 01:52:09
MWYARD-TRL-0004,MW-YARD,Certification Trailer MWYARD 0004,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0004,,08/26/2026 01:52:09
MWYARD-TRL-0005,MW-YARD,Certification Trailer MWYARD 0005,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0005,,08/26/2026 01:52:09
MWYARD-TRL-0006,MW-YARD,Certification Trailer MWYARD 0006,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0006,,08/26/2026 01:52:09
MWYARD-TRL-0007,MW-YARD,Certification Trailer MWYARD 0007,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0007,,08/26/2026 01:52:09
MWYARD-TRL-0008,MW-YARD,Certification Trailer MWYARD 0008,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0008,,08/26/2026 01:52:09
MWYARD-TRL-0009,MW-YARD,Certification Trailer MWYARD 0009,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0009,,08/26/2026 01:52:09
MWYARD-TRL-0010,MW-YARD,Certification Trailer MWYARD 0010,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0010,,08/26/2026 01:52:09
MWYARD-TRL-0011,MW-YARD,Certification Trailer MWYARD 0011,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0011,,08/26/2026 01:52:09
MWYARD-TRL-0012,MW-YARD,Certification Trailer MWYARD 0012,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0012,,08/26/2026 01:52:09
MWYARD-TRL-0013,MW-YARD,Certification Trailer MWYARD 0013,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0013,,08/26/2026 01:52:09
MWYARD-TRL-0014,MW-YARD,Certification Trailer MWYARD 0014,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0014,,08/26/2026 01:52:09
MWYARD-TRL-0015,MW-YARD,Certification Trailer MWYARD 0015,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0015,,08/26/2026 01:52:09
MWYARD-TRL-0016,MW-YARD,Certification Trailer MWYARD 0016,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0016,,08/26/2026 01:52:09
MWYARD-TRL-0017,MW-YARD,Certification Trailer MWYARD 0017,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0017,,08/26/2026 01:52:09
MWYARD-TRL-0018,MW-YARD,Certification Trailer MWYARD 0018,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0018,,08/26/2026 01:52:09
MWYARD-TRL-0019,MW-YARD,Certification Trailer MWYARD 0019,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0019,,08/26/2026 01:52:09
MWYARD-TRL-0020,MW-YARD,Certification Trailer MWYARD 0020,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0020,,08/26/2026 01:52:09
MWYARD-TRL-0021,MW-YARD,Certification Trailer MWYARD 0021,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0021,,08/26/2026 01:52:09
MWYARD-TRL-0022,MW-YARD,Certification Trailer MWYARD 0022,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0022,,08/26/2026 01:52:09
MWYARD-TRL-0023,MW-YARD,Certification Trailer MWYARD 0023,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0023,,08/26/2026 01:52:09
MWYARD-TRL-0024,MW-YARD,Certification Trailer MWYARD 0024,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0024,,08/26/2026 01:52:09
MWYARD-TRL-0025,MW-YARD,Certification Trailer MWYARD 0025,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0025,,08/26/2026 01:52:09
MWYARD-TRL-0026,MW-YARD,Certification Trailer MWYARD 0026,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0026,,08/26/2026 01:52:09
MWYARD-TRL-0027,MW-YARD,Certification Trailer MWYARD 0027,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0027,,08/26/2026 01:52:09
MWYARD-TRL-0028,MW-YARD,Certification Trailer MWYARD 0028,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0028,,08/26/2026 01:52:09
MWYARD-TRL-0029,MW-YARD,Certification Trailer MWYARD 0029,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0029,,08/26/2026 01:52:09
MWYARD-TRL-0030,MW-YARD,Certification Trailer MWYARD 0030,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0030,,08/26/2026 01:52:09
MWYARD-TRL-0031,MW-YARD,Certification Trailer MWYARD 0031,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0031,,08/26/2026 01:52:09
MWYARD-TRL-0032,MW-YARD,Certification Trailer MWYARD 0032,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0032,,08/26/2026 01:52:09
MWYARD-TRL-0033,MW-YARD,Certification Trailer MWYARD 0033,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0033,,08/26/2026 01:52:09
MWYARD-TRL-0034,MW-YARD,Certification Trailer MWYARD 0034,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0034,,08/26/2026 01:52:09
MWYARD-TRL-0035,MW-YARD,Certification Trailer MWYARD 0035,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0035,,08/26/2026 01:52:09
MWYARD-TRL-0036,MW-YARD,Certification Trailer MWYARD 0036,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0036,,08/26/2026 01:52:09
MWYARD-TRL-0037,MW-YARD,Certification Trailer MWYARD 0037,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0037,,08/26/2026 01:52:09
MWYARD-TRL-0038,MW-YARD,Certification Trailer MWYARD 0038,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0038,,08/26/2026 01:52:09
MWYARD-TRL-0039,MW-YARD,Certification Trailer MWYARD 0039,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0039,,08/26/2026 01:52:09
MWYARD-TRL-0040,MW-YARD,Certification Trailer MWYARD 0040,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0040,,08/26/2026 01:52:09
MWYARD-TRL-0041,MW-YARD,Certification Trailer MWYARD 0041,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0041,,08/26/2026 01:52:09
MWYARD-TRL-0042,MW-YARD,Certification Trailer MWYARD 0042,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0042,,08/26/2026 01:52:09
MWYARD-TRL-0043,MW-YARD,Certification Trailer MWYARD 0043,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0043,,08/26/2026 01:52:09
MWYARD-TRL-0044,MW-YARD,Certification Trailer MWYARD 0044,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0044,,08/26/2026 01:52:09
MWYARD-TRL-0045,MW-YARD,Certification Trailer MWYARD 0045,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0045,,08/26/2026 01:52:09
MWYARD-TRL-0046,MW-YARD,Certification Trailer MWYARD 0046,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0046,,08/26/2026 01:52:09
MWYARD-TRL-0047,MW-YARD,Certification Trailer MWYARD 0047,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0047,,08/26/2026 01:52:09
MWYARD-TRL-0048,MW-YARD,Certification Trailer MWYARD 0048,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0048,,08/26/2026 01:52:09
MWYARD-TRL-0049,MW-YARD,Certification Trailer MWYARD 0049,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0049,,08/26/2026 01:52:09
MWYARD-TRL-0050,MW-YARD,Certification Trailer MWYARD 0050,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0050,,08/26/2026 01:52:09
MWYARD-TRL-0051,MW-YARD,Certification Trailer MWYARD 0051,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0051,,08/26/2026 01:52:09
MWYARD-TRL-0052,MW-YARD,Certification Trailer MWYARD 0052,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0052,,08/26/2026 01:52:09
MWYARD-TRL-0053,MW-YARD,Certification Trailer MWYARD 0053,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0053,,08/26/2026 01:52:09
MWYARD-TRL-0054,MW-YARD,Certification Trailer MWYARD 0054,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0054,,08/26/2026 01:52:09
MWYARD-TRL-0055,MW-YARD,Certification Trailer MWYARD 0055,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0055,,08/26/2026 01:52:09
MWYARD-TRL-0056,MW-YARD,Certification Trailer MWYARD 0056,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0056,,08/26/2026 01:52:09
MWYARD-TRL-0057,MW-YARD,Certification Trailer MWYARD 0057,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0057,,08/26/2026 01:52:09
MWYARD-TRL-0058,MW-YARD,Certification Trailer MWYARD 0058,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0058,,08/26/2026 01:52:09
MWYARD-TRL-0059,MW-YARD,Certification Trailer MWYARD 0059,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0059,,08/26/2026 01:52:09
MWYARD-TRL-0060,MW-YARD,Certification Trailer MWYARD 0060,TRAILER,Available,Midwest Equipment Yard,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0060,,08/26/2026 01:52:09
NEHUB-TRL-0001,NE-HUB,Certification Trailer NEHUB 0001,TRAILER,Available,Northeast Fleet Hub,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0001,,08/26/2026 01:48:53
NEHUB-TRL-0002,NE-HUB,Certification Trailer NEHUB 0002,TRAILER,Available,Northeast Fleet Hub,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0002,,08/26/2026 01:48:53
NEHUB-TRL-0003,NE-HUB,Certification Trailer NEHUB 0003,TRAILER,Available,Northeast Fleet Hub,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0003,,08/26/2026 01:48:53
NEHUB-TRL-0004,NE-HUB,Certification Trailer NEHUB 0004,TRAILER,Available,Northeast Fleet Hub,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0004,,08/26/2026 01:48:53
NEHUB-TRL-0005,NE-HUB,Certification Trailer NEHUB 0005,TRAILER,Available,Northeast Fleet Hub,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0005,,08/26/2026 01:48:53
NEHUB-TRL-0006,NE-HUB,Certification Trailer NEHUB 0006,TRAILER,Available,Northeast Fleet Hub,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0006,,08/26/2026 01:48:53
NEHUB-TRL-0007,NE-HUB,Certification Trailer NEHUB 0007,TRAILER,Available,Northeast Fleet Hub,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0007,,08/26/2026 01:48:53
NEHUB-TRL-0008,NE-HUB,Certification Trailer NEHUB 0008,TRAILER,Available,Northeast Fleet Hub,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0008,,08/26/2026 01:48:53
NEHUB-TRL-0009,NE-HUB,Certification Trailer NEHUB 0009,TRAILER,Available,Northeast Fleet Hub,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0009,,08/26/2026 01:48:53
NEHUB-TRL-0010,NE-HUB,Certification Trailer NEHUB 0010,TRAILER,Available,Northeast Fleet Hub,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0010,,08/26/2026 01:48:53
NEHUB-TRL-0011,NE-HUB,Certification Trailer NEHUB 0011,TRAILER,Available,Northeast Fleet Hub,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0011,,08/26/2026 01:48:53
NEHUB-TRL-0012,NE-HUB,Certification Trailer NEHUB 0012,TRAILER,Available,Northeast Fleet Hub,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0012,,08/26/2026 01:48:53
NEHUB-TRL-0013,NE-HUB,Certification Trailer NEHUB 0013,TRAILER,Available,Northeast Fleet Hub,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0013,,08/26/2026 01:48:53
