"serialNumber","vehicleCode","locationLabel","positionSource","positionAccuracy","deviceFixAt","gatewayReceivedAt","dataFreshnessStatus","routingReadiness"
"CLHQ-DEV-0018","CLHQ-V-0018","35.2313, -80.8473","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0019","CLHQ-V-0019","35.232, -80.848","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0020","CLHQ-V-0020","35.2327, -80.8487","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0021","CLHQ-V-0021","35.2334, -80.8494","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0022","CLHQ-V-0022","35.2341, -80.8501","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0023","CLHQ-V-0023","35.2348, -80.8508","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0024","CLHQ-V-0024","35.2355, -80.8515","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0025","CLHQ-V-0025","35.2187, -80.8347","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0026","CLHQ-V-0026","35.2194, -80.8354","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0027","CLHQ-V-0027","35.2201, -80.8361","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0028","CLHQ-V-0028","35.2208, -80.8368","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0029","CLHQ-V-0029","35.2215, -80.8375","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0030","CLHQ-V-0030","35.2222, -80.8382","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0031","CLHQ-V-0031","35.2229, -80.8389","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0032","CLHQ-V-0032","35.2236, -80.8396","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0033","CLHQ-V-0033","35.2243, -80.8403","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0034","CLHQ-V-0034","35.225, -80.841","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0035","CLHQ-V-0035","35.2257, -80.8417","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0036","CLHQ-V-0036","35.2264, -80.8424","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0037","CLHQ-V-0037","35.2271, -80.8431","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0038","CLHQ-V-0038","35.2278, -80.8438","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0039","CLHQ-V-0039","35.2285, -80.8445","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0040","CLHQ-V-0040","35.2292, -80.8452","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0041","CLHQ-V-0041","35.2299, -80.8459","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0042","CLHQ-V-0042","35.2306, -80.8466","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0043","CLHQ-V-0043","35.2313, -80.8473","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0044","CLHQ-V-0044","35.232, -80.848","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0045","CLHQ-V-0045","35.2327, -80.8487","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0046","CLHQ-V-0046","35.2334, -80.8494","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0047","CLHQ-V-0047","35.2341, -80.8501","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0048","CLHQ-V-0048","35.2348, -80.8508","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0049","CLHQ-V-0049","35.2355, -80.8515","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0050","CLHQ-V-0050","35.2187, -80.8347","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0051","CLHQ-V-0051","35.2194, -80.8354","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0052","CLHQ-V-0052","35.2201, -80.8361","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0053","CLHQ-V-0053","35.2208, -80.8368","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0054","CLHQ-V-0054","35.2215, -80.8375","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0055","CLHQ-V-0055","35.2222, -80.8382","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0056","CLHQ-V-0056","35.2229, -80.8389","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0057","CLHQ-V-0057","35.2236, -80.8396","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0058","CLHQ-V-0058","35.2243, -80.8403","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0059","CLHQ-V-0059","35.225, -80.841","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0060","CLHQ-V-0060","35.2257, -80.8417","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0061","CLHQ-V-0061","35.2264, -80.8424","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0062","CLHQ-V-0062","35.2271, -80.8431","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0063","CLHQ-V-0063","35.2278, -80.8438","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0064","CLHQ-V-0064","35.2285, -80.8445","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0065","CLHQ-V-0065","35.2292, -80.8452","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0066","CLHQ-V-0066","35.2299, -80.8459","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0067","CLHQ-V-0067","35.2306, -80.8466","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0068","CLHQ-V-0068","35.2313, -80.8473","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0069","CLHQ-V-0069","35.232, -80.848","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0070","CLHQ-V-0070","35.2327, -80.8487","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0071","CLHQ-V-0071","35.2334, -80.8494","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0072","CLHQ-V-0072","35.2341, -80.8501","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0073","CLHQ-V-0073","35.2348, -80.8508","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0074","CLHQ-V-0074","35.2355, -80.8515","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0075","CLHQ-V-0075","35.2187, -80.8347","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0076","CLHQ-V-0076","35.2194, -80.8354","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0077","CLHQ-V-0077","35.2201, -80.8361","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0078","CLHQ-V-0078","35.2208, -80.8368","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0079","CLHQ-V-0079","35.2215, -80.8375","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0080","CLHQ-V-0080","35.2222, -80.8382","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0081","CLHQ-V-0081","35.2229, -80.8389","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0082","CLHQ-V-0082","35.2236, -80.8396","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0083","CLHQ-V-0083","35.2243, -80.8403","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0084","CLHQ-V-0084","35.225, -80.841","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0085","CLHQ-V-0085","35.2257, -80.8417","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0086","CLHQ-V-0086","35.2264, -80.8424","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0087","CLHQ-V-0087","35.2271, -80.8431","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0088","CLHQ-V-0088","35.2278, -80.8438","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0089","CLHQ-V-0089","35.2285, -80.8445","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0090","CLHQ-V-0090","35.2292, -80.8452","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0091","CLHQ-V-0091","35.2299, -80.8459","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0092","CLHQ-V-0092","35.2306, -80.8466","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0093","CLHQ-V-0093","35.2313, -80.8473","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0094","CLHQ-V-0094","35.232, -80.848","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0095","CLHQ-V-0095","35.2327, -80.8487","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0096","CLHQ-V-0096","35.2334, -80.8494","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0097","CLHQ-V-0097","35.2341, -80.8501","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0098","CLHQ-V-0098","35.2348, -80.8508","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0099","CLHQ-V-0099","35.2355, -80.8515","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0100","CLHQ-V-0100","35.2187, -80.8347","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0101","CLHQ-V-0101","35.2194, -80.8354","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0102","CLHQ-V-0102","35.2201, -80.8361","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0103","CLHQ-V-0103","35.2208, -80.8368","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0104","CLHQ-V-0104","35.2215, -80.8375","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0105","CLHQ-V-0105","35.2222, -80.8382","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0106","CLHQ-V-0106","35.2229, -80.8389","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0107","CLHQ-V-0107","35.2236, -80.8396","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0108","CLHQ-V-0108","35.2243, -80.8403","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0109","CLHQ-V-0109","35.225, -80.841","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0110","CLHQ-V-0110","35.2257, -80.8417","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0111","CLHQ-V-0111","35.2264, -80.8424","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0112","CLHQ-V-0112","35.2271, -80.8431","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0113","CLHQ-V-0113","35.2278, -80.8438","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0114","CLHQ-V-0114","35.2285, -80.8445","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0115","CLHQ-V-0115","35.2292, -80.8452","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0116","CLHQ-V-0116","35.2299, -80.8459","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0117","CLHQ-V-0117","35.2306, -80.8466","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0118","CLHQ-V-0118","35.2313, -80.8473","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0119","CLHQ-V-0119","35.232, -80.848","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0120","CLHQ-V-0120","35.2327, -80.8487","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0121","CLHQ-V-0121","35.2334, -80.8494","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0122","CLHQ-V-0122","35.2341, -80.8501","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0123","CLHQ-V-0123","35.2348, -80.8508","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0124","CLHQ-V-0124","35.2355, -80.8515","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0125","CLHQ-V-0125","35.2187, -80.8347","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0126","CLHQ-V-0126","35.2194, -80.8354","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0127","CLHQ-V-0127","35.2201, -80.8361","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0128","CLHQ-V-0128","35.2208, -80.8368","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0129","CLHQ-V-0129","35.2215, -80.8375","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0130","CLHQ-V-0130","35.2222, -80.8382","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0131","CLHQ-V-0131","35.2229, -80.8389","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0132","CLHQ-V-0132","35.2236, -80.8396","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0133","CLHQ-V-0133","35.2243, -80.8403","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0134","CLHQ-V-0134","35.225, -80.841","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0135","CLHQ-V-0135","35.2257, -80.8417","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0136","CLHQ-V-0136","35.2264, -80.8424","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0137","CLHQ-V-0137","35.2271, -80.8431","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0138","CLHQ-V-0138","35.2278, -80.8438","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0139","CLHQ-V-0139","35.2285, -80.8445","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0140","CLHQ-V-0140","35.2292, -80.8452","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0141","CLHQ-V-0141","35.2299, -80.8459","Native Eld","8 m","2026-08-28T07:38:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0142","CLHQ-V-0142","35.2306, -80.8466","Native Eld","8 m","2026-08-28T07:38:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0143","CLHQ-V-0143","35.2313, -80.8473","Native Eld","8 m","2026-08-28T07:38:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0144","CLHQ-V-0144","35.232, -80.848","Native Eld","8 m","2026-08-28T07:38:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0145","CLHQ-V-0145","35.2327, -80.8487","Native Eld","8 m","2026-08-28T07:38:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0146","CLHQ-V-0146","35.2334, -80.8494","Native Eld","8 m","2026-08-28T07:38:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0147","CLHQ-V-0147","35.2341, -80.8501","Native Eld","8 m","2026-08-28T07:38:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0148","CLHQ-V-0148","35.2348, -80.8508","Native Eld","8 m","2026-08-28T07:38:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0149","CLHQ-V-0149","35.2355, -80.8515","Native Eld","8 m","2026-08-28T07:38:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0150","CLHQ-V-0150","35.2187, -80.8347","Native Eld","8 m","2026-08-28T07:38:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0151","CLHQ-V-0151","35.2194, -80.8354","Native Eld","8 m","2026-08-28T07:38:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0152","CLHQ-V-0152","35.2201, -80.8361","Native Eld","8 m","2026-08-28T07:38:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0153","CLHQ-V-0153","35.2208, -80.8368","Native Eld","8 m","2026-08-28T07:38:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0154","CLHQ-V-0154","35.2215, -80.8375","Native Eld","8 m","2026-08-28T07:38:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0155","CLHQ-V-0155","35.2222, -80.8382","Native Eld","8 m","2026-08-28T07:38:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0156","CLHQ-V-0156","35.2229, -80.8389","Native Eld","8 m","2026-08-28T07:38:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0157","CLHQ-V-0157","35.2236, -80.8396","Native Eld","8 m","2026-08-28T07:38:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0158","CLHQ-V-0158","35.2243, -80.8403","Native Eld","8 m","2026-08-28T07:38:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0159","CLHQ-V-0159","35.225, -80.841","Native Eld","8 m","2026-08-28T07:38:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0160","CLHQ-V-0160","35.2257, -80.8417","Native Eld","8 m","2026-08-28T07:38:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0161","CLHQ-V-0161","35.2264, -80.8424","Native Eld","8 m","2026-08-28T07:21:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0162","CLHQ-V-0162","35.2271, -80.8431","Native Eld","8 m","2026-08-28T07:21:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0163","CLHQ-V-0163","35.2278, -80.8438","Native Eld","8 m","2026-08-28T07:21:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0164","CLHQ-V-0164","35.2285, -80.8445","Native Eld","8 m","2026-08-28T07:21:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0165","CLHQ-V-0165","35.2292, -80.8452","Native Eld","8 m","2026-08-28T07:21:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0166","CLHQ-V-0166","35.2299, -80.8459","Native Eld","8 m","2026-08-28T07:21:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0167","CLHQ-V-0167","35.2306, -80.8466","Native Eld","8 m","2026-08-28T07:21:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0168","CLHQ-V-0168","35.2313, -80.8473","Native Eld","8 m","2026-08-28T07:21:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0169","CLHQ-V-0169","35.232, -80.848","Native Eld","8 m","2026-08-28T07:21:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0170","CLHQ-V-0170","35.2327, -80.8487","Native Eld","8 m","2026-08-28T07:21:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0171","CLHQ-V-0171","35.2334, -80.8494","Native Eld","8 m","2026-08-28T07:21:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0172","CLHQ-V-0172","35.2341, -80.8501","Native Eld","8 m","2026-08-28T07:21:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0173","CLHQ-V-0173","35.2348, -80.8508","Native Eld","8 m","2026-08-28T07:21:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0174","CLHQ-V-0174","35.2355, -80.8515","Native Eld","8 m","2026-08-28T07:21:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0175","CLHQ-V-0175","35.2187, -80.8347","Native Eld","8 m","2026-08-28T07:21:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0176","CLHQ-V-0176","35.2194, -80.8354","Native Eld","8 m","2026-08-28T07:26:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0177","CLHQ-V-0177","35.2201, -80.8361","Native Eld","8 m","2026-08-28T07:26:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0178","CLHQ-V-0178","35.2208, -80.8368","Native Eld","8 m","2026-08-28T07:26:41Z","—","Stale","Blocked — position is not current"
