deviceSerial,imei,deviceCategory,deviceModel,provider,firmwareVersion,status,deviceState,branchCode,vehicleCode,driverName,lastSeenAt,revokedAt,createdAt
CLHQ-DEV-0013,990000001000013,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.2,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0014,990000001000014,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.3,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0015,990000001000015,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.4,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0016,990000001000016,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.5,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0017,990000001000017,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.6,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0018,990000001000018,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.7,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0019,990000001000019,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.8,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0020,990000001000020,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.9,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0021,990000001000021,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.0,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0022,990000001000022,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.1,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0023,990000001000023,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.2,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0024,990000001000024,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.3,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0025,990000001000025,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.4,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0026,990000001000026,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.5,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0027,990000001000027,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.6,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0028,990000001000028,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.7,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0029,990000001000029,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.8,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0030,990000001000030,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.9,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0031,990000001000031,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.0,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0032,990000001000032,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.1,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0033,990000001000033,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.2,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0034,990000001000034,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.3,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0035,990000001000035,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.4,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0036,990000001000036,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.5,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0037,990000001000037,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.6,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0038,990000001000038,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.7,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0039,990000001000039,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.8,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0040,990000001000040,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.9,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0041,990000001000041,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.0,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0042,990000001000042,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.1,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0043,990000001000043,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.2,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0044,990000001000044,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.3,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0045,990000001000045,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.4,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0046,990000001000046,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.5,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0047,990000001000047,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.6,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0048,990000001000048,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.7,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0049,990000001000049,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.8,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0050,990000001000050,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.9,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0051,990000001000051,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.0,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0052,990000001000052,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.1,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0053,990000001000053,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.2,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0054,990000001000054,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.3,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0055,990000001000055,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.4,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0056,990000001000056,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.5,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0057,990000001000057,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.6,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0058,990000001000058,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.7,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0059,990000001000059,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.8,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0060,990000001000060,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.9,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0061,990000001000061,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.0,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0062,990000001000062,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.1,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0063,990000001000063,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.2,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0064,990000001000064,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.3,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0065,990000001000065,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.4,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0066,990000001000066,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.5,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0067,990000001000067,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.6,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0068,990000001000068,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.7,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0069,990000001000069,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.8,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0070,990000001000070,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.9,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0071,990000001000071,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.0,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0072,990000001000072,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.1,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0073,990000001000073,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.2,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0074,990000001000074,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.3,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0075,990000001000075,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.4,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0076,990000001000076,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.5,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0077,990000001000077,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.6,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0078,990000001000078,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.7,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0079,990000001000079,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.8,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0080,990000001000080,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.9,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0081,990000001000081,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.0,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0082,990000001000082,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.1,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0083,990000001000083,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.2,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0084,990000001000084,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.3,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0085,990000001000085,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.4,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0086,990000001000086,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.5,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0087,990000001000087,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.6,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0088,990000001000088,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.7,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0089,990000001000089,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.8,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0090,990000001000090,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.9,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0091,990000001000091,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.0,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0092,990000001000092,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.1,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0093,990000001000093,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.2,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0094,990000001000094,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.3,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0095,990000001000095,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.4,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0096,990000001000096,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.5,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0097,990000001000097,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.6,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0098,990000001000098,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.7,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0099,990000001000099,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.8,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0100,990000001000100,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.9,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0101,990000001000101,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.0,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0102,990000001000102,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.1,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0103,990000001000103,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.2,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0104,990000001000104,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.3,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0105,990000001000105,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.4,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0106,990000001000106,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.5,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0107,990000001000107,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.6,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0108,990000001000108,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.7,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0109,990000001000109,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.8,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0110,990000001000110,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.9,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0111,990000001000111,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.0,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0112,990000001000112,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.1,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0113,990000001000113,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.2,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0114,990000001000114,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.3,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0115,990000001000115,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.4,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0116,990000001000116,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.5,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0117,990000001000117,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.6,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0118,990000001000118,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.7,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0119,990000001000119,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.8,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0120,990000001000120,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.9,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0121,990000001000121,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.0,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0122,990000001000122,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.1,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0123,990000001000123,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.2,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0124,990000001000124,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.3,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0125,990000001000125,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.4,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0126,990000001000126,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.5,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0127,990000001000127,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.6,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0128,990000001000128,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.7,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0129,990000001000129,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.8,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0130,990000001000130,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.9,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0131,990000001000131,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.0,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0132,990000001000132,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.1,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0133,990000001000133,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.2,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0134,990000001000134,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.3,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0135,990000001000135,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.4,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0136,990000001000136,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.5,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0137,990000001000137,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.6,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0138,990000001000138,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.7,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0139,990000001000139,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.8,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0140,990000001000140,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.9,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0141,990000001000141,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.0,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0142,990000001000142,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.1,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0143,990000001000143,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.2,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0144,990000001000144,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.3,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0145,990000001000145,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.4,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0146,990000001000146,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.5,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0147,990000001000147,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.6,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0148,990000001000148,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.7,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0149,990000001000149,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.8,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0150,990000001000150,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.9,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0151,990000001000151,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.0,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0152,990000001000152,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.1,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0153,990000001000153,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.2,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0154,990000001000154,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.3,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0155,990000001000155,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.4,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0156,990000001000156,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.5,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0157,990000001000157,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.6,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0158,990000001000158,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.7,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0159,990000001000159,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.8,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0160,990000001000160,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.9,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0161,990000001000161,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.0,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0162,990000001000162,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.1,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0163,990000001000163,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.2,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0164,990000001000164,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.3,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
