assetTag,branchCode,name,assetTypeCode,status,currentLocation,condition,isReturnable,quantity,unitOfMeasure,notes
SEDEPOT-TRL-0037,SE-DEPOT,Certification Trailer SEDEPOT 0037,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0037
SEDEPOT-TRL-0038,SE-DEPOT,Certification Trailer SEDEPOT 0038,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0038
SEDEPOT-TRL-0039,SE-DEPOT,Certification Trailer SEDEPOT 0039,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0039
SEDEPOT-TRL-0040,SE-DEPOT,Certification Trailer SEDEPOT 0040,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0040
SEDEPOT-TRL-0041,SE-DEPOT,Certification Trailer SEDEPOT 0041,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0041
SEDEPOT-TRL-0042,SE-DEPOT,Certification Trailer SEDEPOT 0042,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0042
SEDEPOT-TRL-0043,SE-DEPOT,Certification Trailer SEDEPOT 0043,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0043
SEDEPOT-TRL-0044,SE-DEPOT,Certification Trailer SEDEPOT 0044,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0044
SEDEPOT-TRL-0045,SE-DEPOT,Certification Trailer SEDEPOT 0045,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0045
SEDEPOT-TRL-0046,SE-DEPOT,Certification Trailer SEDEPOT 0046,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0046
SEDEPOT-TRL-0047,SE-DEPOT,Certification Trailer SEDEPOT 0047,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0047
SEDEPOT-TRL-0048,SE-DEPOT,Certification Trailer SEDEPOT 0048,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0048
SEDEPOT-TRL-0049,SE-DEPOT,Certification Trailer SEDEPOT 0049,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0049
SEDEPOT-TRL-0050,SE-DEPOT,Certification Trailer SEDEPOT 0050,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0050
SEDEPOT-TRL-0051,SE-DEPOT,Certification Trailer SEDEPOT 0051,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0051
SEDEPOT-TRL-0052,SE-DEPOT,Certification Trailer SEDEPOT 0052,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0052
SEDEPOT-TRL-0053,SE-DEPOT,Certification Trailer SEDEPOT 0053,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0053
SEDEPOT-TRL-0054,SE-DEPOT,Certification Trailer SEDEPOT 0054,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0054
SEDEPOT-TRL-0055,SE-DEPOT,Certification Trailer SEDEPOT 0055,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0055
SEDEPOT-TRL-0056,SE-DEPOT,Certification Trailer SEDEPOT 0056,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0056
SEDEPOT-TRL-0057,SE-DEPOT,Certification Trailer SEDEPOT 0057,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0057
SEDEPOT-TRL-0058,SE-DEPOT,Certification Trailer SEDEPOT 0058,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0058
SEDEPOT-TRL-0059,SE-DEPOT,Certification Trailer SEDEPOT 0059,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0059
SEDEPOT-TRL-0060,SE-DEPOT,Certification Trailer SEDEPOT 0060,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0060
