vehicleCode,branchCode,type,make,model,year,vehicleClass,vin,vinExceptionType,alternateIdentifier,plateNumber,plateJurisdiction,status,odometerMiles,deviceStatus
CLHQ-V-0022,CL-HQ,Truck,Ford,F-650,2018,Class 6,,legacy-fleet-identifier,CERT-CLHQ-VEH-0022,OH-0022,OH,Available,216218.00,Unknown
CLHQ-V-0023,CL-HQ,Van,Ford,Transit,2019,Class 2b,,legacy-fleet-identifier,CERT-CLHQ-VEH-0023,OH-0023,OH,Available,224137.00,Unknown
CLHQ-V-0024,CL-HQ,Truck,Isuzu,NPR-HD,2020,Class 5,,legacy-fleet-identifier,CERT-CLHQ-VEH-0024,OH-0024,OH,Available,232056.00,Unknown
CLHQ-V-0025,CL-HQ,Tractor,Volvo,VNL 760,2021,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0025,OH-0025,OH,Available,239975.00,Unknown
CLHQ-V-0026,CL-HQ,Tractor,Freightliner,Cascadia,2022,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0026,OH-0026,OH,Available,247894.00,Unknown
CLHQ-V-0027,CL-HQ,Truck,Ford,F-650,2023,Class 6,,legacy-fleet-identifier,CERT-CLHQ-VEH-0027,OH-0027,OH,Available,255813.00,Unknown
CLHQ-V-0028,CL-HQ,Van,Ford,Transit,2024,Class 2b,,legacy-fleet-identifier,CERT-CLHQ-VEH-0028,OH-0028,OH,Available,263732.00,Unknown
CLHQ-V-0029,CL-HQ,Truck,Isuzu,NPR-HD,2025,Class 5,,legacy-fleet-identifier,CERT-CLHQ-VEH-0029,OH-0029,OH,Available,271651.00,Unknown
CLHQ-V-0030,CL-HQ,Tractor,Volvo,VNL 760,2026,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0030,OH-0030,OH,Available,279570.00,Unknown
CLHQ-V-0031,CL-HQ,Tractor,Freightliner,Cascadia,2017,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0031,OH-0031,OH,Available,287489.00,Unknown
CLHQ-V-0032,CL-HQ,Truck,Ford,F-650,2018,Class 6,,legacy-fleet-identifier,CERT-CLHQ-VEH-0032,OH-0032,OH,Available,295408.00,Unknown
CLHQ-V-0033,CL-HQ,Van,Ford,Transit,2019,Class 2b,,legacy-fleet-identifier,CERT-CLHQ-VEH-0033,OH-0033,OH,Available,303327.00,Unknown
CLHQ-V-0034,CL-HQ,Truck,Isuzu,NPR-HD,2020,Class 5,,legacy-fleet-identifier,CERT-CLHQ-VEH-0034,OH-0034,OH,Available,311246.00,Unknown
CLHQ-V-0035,CL-HQ,Tractor,Volvo,VNL 760,2021,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0035,OH-0035,OH,Available,319165.00,Unknown
CLHQ-V-0036,CL-HQ,Tractor,Freightliner,Cascadia,2022,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0036,OH-0036,OH,Available,327084.00,Unknown
CLHQ-V-0037,CL-HQ,Truck,Ford,F-650,2023,Class 6,,legacy-fleet-identifier,CERT-CLHQ-VEH-0037,OH-0037,OH,Available,335003.00,Unknown
CLHQ-V-0038,CL-HQ,Van,Ford,Transit,2024,Class 2b,,legacy-fleet-identifier,CERT-CLHQ-VEH-0038,OH-0038,OH,Available,342922.00,Unknown
CLHQ-V-0039,CL-HQ,Truck,Isuzu,NPR-HD,2025,Class 5,,legacy-fleet-identifier,CERT-CLHQ-VEH-0039,OH-0039,OH,Available,350841.00,Unknown
CLHQ-V-0040,CL-HQ,Tractor,Volvo,VNL 760,2026,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0040,OH-0040,OH,Maintenance,358760.00,Unknown
CLHQ-V-0041,CL-HQ,Tractor,Freightliner,Cascadia,2017,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0041,OH-0041,OH,Available,366679.00,Unknown
CLHQ-V-0042,CL-HQ,Truck,Ford,F-650,2018,Class 6,,legacy-fleet-identifier,CERT-CLHQ-VEH-0042,OH-0042,OH,Available,374598.00,Unknown
CLHQ-V-0043,CL-HQ,Van,Ford,Transit,2019,Class 2b,,legacy-fleet-identifier,CERT-CLHQ-VEH-0043,OH-0043,OH,Available,382517.00,Unknown
CLHQ-V-0044,CL-HQ,Truck,Isuzu,NPR-HD,2020,Class 5,,legacy-fleet-identifier,CERT-CLHQ-VEH-0044,OH-0044,OH,Available,390436.00,Unknown
CLHQ-V-0045,CL-HQ,Tractor,Volvo,VNL 760,2021,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0045,OH-0045,OH,Available,398355.00,Unknown
CLHQ-V-0046,CL-HQ,Tractor,Freightliner,Cascadia,2022,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0046,OH-0046,OH,Available,406274.00,Unknown
CLHQ-V-0047,CL-HQ,Truck,Ford,F-650,2023,Class 6,,legacy-fleet-identifier,CERT-CLHQ-VEH-0047,OH-0047,OH,Available,414193.00,Unknown
CLHQ-V-0048,CL-HQ,Van,Ford,Transit,2024,Class 2b,,legacy-fleet-identifier,CERT-CLHQ-VEH-0048,OH-0048,OH,Available,422112.00,Unknown
CLHQ-V-0049,CL-HQ,Truck,Isuzu,NPR-HD,2025,Class 5,,legacy-fleet-identifier,CERT-CLHQ-VEH-0049,OH-0049,OH,Available,430031.00,Unknown
CLHQ-V-0050,CL-HQ,Tractor,Volvo,VNL 760,2026,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0050,OH-0050,OH,Available,437950.00,Unknown
CLHQ-V-0051,CL-HQ,Tractor,Freightliner,Cascadia,2017,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0051,OH-0051,OH,Available,445869.00,Unknown
CLHQ-V-0052,CL-HQ,Truck,Ford,F-650,2018,Class 6,,legacy-fleet-identifier,CERT-CLHQ-VEH-0052,OH-0052,OH,Available,453788.00,Unknown
CLHQ-V-0053,CL-HQ,Van,Ford,Transit,2019,Class 2b,,legacy-fleet-identifier,CERT-CLHQ-VEH-0053,OH-0053,OH,Available,461707.00,Unknown
CLHQ-V-0054,CL-HQ,Truck,Isuzu,NPR-HD,2020,Class 5,,legacy-fleet-identifier,CERT-CLHQ-VEH-0054,OH-0054,OH,Available,469626.00,Unknown
CLHQ-V-0055,CL-HQ,Tractor,Volvo,VNL 760,2021,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0055,OH-0055,OH,Available,477545.00,Unknown
CLHQ-V-0056,CL-HQ,Tractor,Freightliner,Cascadia,2022,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0056,OH-0056,OH,Available,485464.00,Unknown
CLHQ-V-0057,CL-HQ,Truck,Ford,F-650,2023,Class 6,,legacy-fleet-identifier,CERT-CLHQ-VEH-0057,OH-0057,OH,Available,493383.00,Unknown
CLHQ-V-0058,CL-HQ,Van,Ford,Transit,2024,Class 2b,,legacy-fleet-identifier,CERT-CLHQ-VEH-0058,OH-0058,OH,Available,501302.00,Unknown
CLHQ-V-0059,CL-HQ,Truck,Isuzu,NPR-HD,2025,Class 5,,legacy-fleet-identifier,CERT-CLHQ-VEH-0059,OH-0059,OH,Available,509221.00,Unknown
CLHQ-V-0060,CL-HQ,Tractor,Volvo,VNL 760,2026,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0060,OH-0060,OH,Maintenance,517140.00,Unknown
CLHQ-V-0061,CL-HQ,Tractor,Freightliner,Cascadia,2017,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0061,OH-0061,OH,Available,525059.00,Unknown
CLHQ-V-0062,CL-HQ,Truck,Ford,F-650,2018,Class 6,,legacy-fleet-identifier,CERT-CLHQ-VEH-0062,OH-0062,OH,Available,532978.00,Unknown
CLHQ-V-0063,CL-HQ,Van,Ford,Transit,2019,Class 2b,,legacy-fleet-identifier,CERT-CLHQ-VEH-0063,OH-0063,OH,Available,540897.00,Unknown
CLHQ-V-0064,CL-HQ,Truck,Isuzu,NPR-HD,2020,Class 5,,legacy-fleet-identifier,CERT-CLHQ-VEH-0064,OH-0064,OH,Available,548816.00,Unknown
CLHQ-V-0065,CL-HQ,Tractor,Volvo,VNL 760,2021,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0065,OH-0065,OH,Available,556735.00,Unknown
CLHQ-V-0066,CL-HQ,Tractor,Freightliner,Cascadia,2022,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0066,OH-0066,OH,Available,564654.00,Unknown
CLHQ-V-0067,CL-HQ,Truck,Ford,F-650,2023,Class 6,,legacy-fleet-identifier,CERT-CLHQ-VEH-0067,OH-0067,OH,Available,572573.00,Unknown
CLHQ-V-0068,CL-HQ,Van,Ford,Transit,2024,Class 2b,,legacy-fleet-identifier,CERT-CLHQ-VEH-0068,OH-0068,OH,Available,580492.00,Unknown
CLHQ-V-0069,CL-HQ,Truck,Isuzu,NPR-HD,2025,Class 5,,legacy-fleet-identifier,CERT-CLHQ-VEH-0069,OH-0069,OH,Available,588411.00,Unknown
CLHQ-V-0070,CL-HQ,Tractor,Volvo,VNL 760,2026,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0070,OH-0070,OH,Available,596330.00,Unknown
CLHQ-V-0071,CL-HQ,Tractor,Freightliner,Cascadia,2017,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0071,OH-0071,OH,Available,604249.00,Unknown
CLHQ-V-0072,CL-HQ,Truck,Ford,F-650,2018,Class 6,,legacy-fleet-identifier,CERT-CLHQ-VEH-0072,OH-0072,OH,Available,612168.00,Unknown
CLHQ-V-0073,CL-HQ,Van,Ford,Transit,2019,Class 2b,,legacy-fleet-identifier,CERT-CLHQ-VEH-0073,OH-0073,OH,Available,620087.00,Unknown
CLHQ-V-0074,CL-HQ,Truck,Isuzu,NPR-HD,2020,Class 5,,legacy-fleet-identifier,CERT-CLHQ-VEH-0074,OH-0074,OH,Available,628006.00,Unknown
CLHQ-V-0075,CL-HQ,Tractor,Volvo,VNL 760,2021,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0075,OH-0075,OH,Available,635925.00,Unknown
CLHQ-V-0076,CL-HQ,Tractor,Freightliner,Cascadia,2022,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0076,OH-0076,OH,Available,643844.00,Unknown
CLHQ-V-0077,CL-HQ,Truck,Ford,F-650,2023,Class 6,,legacy-fleet-identifier,CERT-CLHQ-VEH-0077,OH-0077,OH,Available,651763.00,Unknown
CLHQ-V-0078,CL-HQ,Van,Ford,Transit,2024,Class 2b,,legacy-fleet-identifier,CERT-CLHQ-VEH-0078,OH-0078,OH,Available,49682.00,Unknown
CLHQ-V-0079,CL-HQ,Truck,Isuzu,NPR-HD,2025,Class 5,,legacy-fleet-identifier,CERT-CLHQ-VEH-0079,OH-0079,OH,Available,57601.00,Unknown
CLHQ-V-0080,CL-HQ,Tractor,Volvo,VNL 760,2026,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0080,OH-0080,OH,Maintenance,65520.00,Unknown
CLHQ-V-0081,CL-HQ,Tractor,Freightliner,Cascadia,2017,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0081,OH-0081,OH,Available,73439.00,Unknown
CLHQ-V-0082,CL-HQ,Truck,Ford,F-650,2018,Class 6,,legacy-fleet-identifier,CERT-CLHQ-VEH-0082,OH-0082,OH,Available,81358.00,Unknown
CLHQ-V-0083,CL-HQ,Van,Ford,Transit,2019,Class 2b,,legacy-fleet-identifier,CERT-CLHQ-VEH-0083,OH-0083,OH,Available,89277.00,Unknown
CLHQ-V-0084,CL-HQ,Truck,Isuzu,NPR-HD,2020,Class 5,,legacy-fleet-identifier,CERT-CLHQ-VEH-0084,OH-0084,OH,Available,97196.00,Unknown
CLHQ-V-0085,CL-HQ,Tractor,Volvo,VNL 760,2021,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0085,OH-0085,OH,Available,105115.00,Unknown
CLHQ-V-0086,CL-HQ,Tractor,Freightliner,Cascadia,2022,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0086,OH-0086,OH,Available,113034.00,Unknown
CLHQ-V-0087,CL-HQ,Truck,Ford,F-650,2023,Class 6,,legacy-fleet-identifier,CERT-CLHQ-VEH-0087,OH-0087,OH,Available,120953.00,Unknown
CLHQ-V-0088,CL-HQ,Van,Ford,Transit,2024,Class 2b,,legacy-fleet-identifier,CERT-CLHQ-VEH-0088,OH-0088,OH,Available,128872.00,Unknown
CLHQ-V-0089,CL-HQ,Truck,Isuzu,NPR-HD,2025,Class 5,,legacy-fleet-identifier,CERT-CLHQ-VEH-0089,OH-0089,OH,Available,136791.00,Unknown
CLHQ-V-0090,CL-HQ,Tractor,Volvo,VNL 760,2026,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0090,OH-0090,OH,Available,144710.00,Unknown
CLHQ-V-0091,CL-HQ,Tractor,Freightliner,Cascadia,2017,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0091,OH-0091,OH,Available,152629.00,Unknown
CLHQ-V-0092,CL-HQ,Truck,Ford,F-650,2018,Class 6,,legacy-fleet-identifier,CERT-CLHQ-VEH-0092,OH-0092,OH,Available,160548.00,Unknown
CLHQ-V-0093,CL-HQ,Van,Ford,Transit,2019,Class 2b,,legacy-fleet-identifier,CERT-CLHQ-VEH-0093,OH-0093,OH,Available,168467.00,Unknown
CLHQ-V-0094,CL-HQ,Truck,Isuzu,NPR-HD,2020,Class 5,,legacy-fleet-identifier,CERT-CLHQ-VEH-0094,OH-0094,OH,Available,176386.00,Unknown
CLHQ-V-0095,CL-HQ,Tractor,Volvo,VNL 760,2021,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0095,OH-0095,OH,Available,184305.00,Unknown
CLHQ-V-0096,CL-HQ,Tractor,Freightliner,Cascadia,2022,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0096,OH-0096,OH,Available,192224.00,Unknown
CLHQ-V-0097,CL-HQ,Truck,Ford,F-650,2023,Class 6,,legacy-fleet-identifier,CERT-CLHQ-VEH-0097,OH-0097,OH,Available,200143.00,Unknown
CLHQ-V-0098,CL-HQ,Van,Ford,Transit,2024,Class 2b,,legacy-fleet-identifier,CERT-CLHQ-VEH-0098,OH-0098,OH,Available,208062.00,Unknown
CLHQ-V-0099,CL-HQ,Truck,Isuzu,NPR-HD,2025,Class 5,,legacy-fleet-identifier,CERT-CLHQ-VEH-0099,OH-0099,OH,Available,215981.00,Unknown
CLHQ-V-0100,CL-HQ,Tractor,Volvo,VNL 760,2026,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0100,OH-0100,OH,Maintenance,223900.00,Unknown
CLHQ-V-0101,CL-HQ,Tractor,Freightliner,Cascadia,2017,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0101,OH-0101,OH,Available,231819.00,Unknown
CLHQ-V-0102,CL-HQ,Truck,Ford,F-650,2018,Class 6,,legacy-fleet-identifier,CERT-CLHQ-VEH-0102,OH-0102,OH,Available,239738.00,Unknown
CLHQ-V-0103,CL-HQ,Van,Ford,Transit,2019,Class 2b,,legacy-fleet-identifier,CERT-CLHQ-VEH-0103,OH-0103,OH,Available,247657.00,Unknown
CLHQ-V-0104,CL-HQ,Truck,Isuzu,NPR-HD,2020,Class 5,,legacy-fleet-identifier,CERT-CLHQ-VEH-0104,OH-0104,OH,Available,255576.00,Unknown
CLHQ-V-0105,CL-HQ,Tractor,Volvo,VNL 760,2021,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0105,OH-0105,OH,Available,263495.00,Unknown
CLHQ-V-0106,CL-HQ,Tractor,Freightliner,Cascadia,2022,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0106,OH-0106,OH,Available,271414.00,Unknown
CLHQ-V-0107,CL-HQ,Truck,Ford,F-650,2023,Class 6,,legacy-fleet-identifier,CERT-CLHQ-VEH-0107,OH-0107,OH,Available,279333.00,Unknown
CLHQ-V-0108,CL-HQ,Van,Ford,Transit,2024,Class 2b,,legacy-fleet-identifier,CERT-CLHQ-VEH-0108,OH-0108,OH,Available,287252.00,Unknown
CLHQ-V-0109,CL-HQ,Truck,Isuzu,NPR-HD,2025,Class 5,,legacy-fleet-identifier,CERT-CLHQ-VEH-0109,OH-0109,OH,Available,295171.00,Unknown
CLHQ-V-0110,CL-HQ,Tractor,Volvo,VNL 760,2026,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0110,OH-0110,OH,Available,303090.00,Unknown
CLHQ-V-0111,CL-HQ,Tractor,Freightliner,Cascadia,2017,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0111,OH-0111,OH,Available,311009.00,Unknown
CLHQ-V-0112,CL-HQ,Truck,Ford,F-650,2018,Class 6,,legacy-fleet-identifier,CERT-CLHQ-VEH-0112,OH-0112,OH,Available,318928.00,Unknown
CLHQ-V-0113,CL-HQ,Van,Ford,Transit,2019,Class 2b,,legacy-fleet-identifier,CERT-CLHQ-VEH-0113,OH-0113,OH,Available,326847.00,Unknown
CLHQ-V-0114,CL-HQ,Truck,Isuzu,NPR-HD,2020,Class 5,,legacy-fleet-identifier,CERT-CLHQ-VEH-0114,OH-0114,OH,Available,334766.00,Unknown
CLHQ-V-0115,CL-HQ,Tractor,Volvo,VNL 760,2021,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0115,OH-0115,OH,Available,342685.00,Unknown
CLHQ-V-0116,CL-HQ,Tractor,Freightliner,Cascadia,2022,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0116,OH-0116,OH,Available,350604.00,Unknown
CLHQ-V-0117,CL-HQ,Truck,Ford,F-650,2023,Class 6,,legacy-fleet-identifier,CERT-CLHQ-VEH-0117,OH-0117,OH,Available,358523.00,Unknown
CLHQ-V-0118,CL-HQ,Van,Ford,Transit,2024,Class 2b,,legacy-fleet-identifier,CERT-CLHQ-VEH-0118,OH-0118,OH,Available,366442.00,Unknown
CLHQ-V-0119,CL-HQ,Truck,Isuzu,NPR-HD,2025,Class 5,,legacy-fleet-identifier,CERT-CLHQ-VEH-0119,OH-0119,OH,Available,374361.00,Unknown
CLHQ-V-0120,CL-HQ,Tractor,Volvo,VNL 760,2026,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0120,OH-0120,OH,Maintenance,382280.00,Unknown
CLHQ-V-0121,CL-HQ,Tractor,Freightliner,Cascadia,2017,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0121,OH-0121,OH,Available,390199.00,Unknown
CLHQ-V-0122,CL-HQ,Truck,Ford,F-650,2018,Class 6,,legacy-fleet-identifier,CERT-CLHQ-VEH-0122,OH-0122,OH,Available,398118.00,Unknown
CLHQ-V-0123,CL-HQ,Van,Ford,Transit,2019,Class 2b,,legacy-fleet-identifier,CERT-CLHQ-VEH-0123,OH-0123,OH,Available,406037.00,Unknown
CLHQ-V-0124,CL-HQ,Truck,Isuzu,NPR-HD,2020,Class 5,,legacy-fleet-identifier,CERT-CLHQ-VEH-0124,OH-0124,OH,Available,413956.00,Unknown
CLHQ-V-0125,CL-HQ,Tractor,Volvo,VNL 760,2021,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0125,OH-0125,OH,Available,421875.00,Unknown
CLHQ-V-0126,CL-HQ,Tractor,Freightliner,Cascadia,2022,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0126,OH-0126,OH,Available,429794.00,Unknown
CLHQ-V-0127,CL-HQ,Truck,Ford,F-650,2023,Class 6,,legacy-fleet-identifier,CERT-CLHQ-VEH-0127,OH-0127,OH,Available,437713.00,Unknown
CLHQ-V-0128,CL-HQ,Van,Ford,Transit,2024,Class 2b,,legacy-fleet-identifier,CERT-CLHQ-VEH-0128,OH-0128,OH,Available,445632.00,Unknown
CLHQ-V-0129,CL-HQ,Truck,Isuzu,NPR-HD,2025,Class 5,,legacy-fleet-identifier,CERT-CLHQ-VEH-0129,OH-0129,OH,Available,453551.00,Unknown
CLHQ-V-0130,CL-HQ,Tractor,Volvo,VNL 760,2026,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0130,OH-0130,OH,Available,461470.00,Unknown
CLHQ-V-0131,CL-HQ,Tractor,Freightliner,Cascadia,2017,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0131,OH-0131,OH,Available,469389.00,Unknown
CLHQ-V-0132,CL-HQ,Truck,Ford,F-650,2018,Class 6,,legacy-fleet-identifier,CERT-CLHQ-VEH-0132,OH-0132,OH,Available,477308.00,Unknown
CLHQ-V-0133,CL-HQ,Van,Ford,Transit,2019,Class 2b,,legacy-fleet-identifier,CERT-CLHQ-VEH-0133,OH-0133,OH,Available,485227.00,Unknown
CLHQ-V-0134,CL-HQ,Truck,Isuzu,NPR-HD,2020,Class 5,,legacy-fleet-identifier,CERT-CLHQ-VEH-0134,OH-0134,OH,Available,493146.00,Unknown
CLHQ-V-0135,CL-HQ,Tractor,Volvo,VNL 760,2021,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0135,OH-0135,OH,Available,501065.00,Unknown
CLHQ-V-0136,CL-HQ,Tractor,Freightliner,Cascadia,2022,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0136,OH-0136,OH,Available,508984.00,Unknown
CLHQ-V-0137,CL-HQ,Truck,Ford,F-650,2023,Class 6,,legacy-fleet-identifier,CERT-CLHQ-VEH-0137,OH-0137,OH,Available,516903.00,Unknown
CLHQ-V-0138,CL-HQ,Van,Ford,Transit,2024,Class 2b,,legacy-fleet-identifier,CERT-CLHQ-VEH-0138,OH-0138,OH,Available,524822.00,Unknown
CLHQ-V-0139,CL-HQ,Truck,Isuzu,NPR-HD,2025,Class 5,,legacy-fleet-identifier,CERT-CLHQ-VEH-0139,OH-0139,OH,Available,532741.00,Unknown
CLHQ-V-0140,CL-HQ,Tractor,Volvo,VNL 760,2026,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0140,OH-0140,OH,Maintenance,540660.00,Unknown
CLHQ-V-0141,CL-HQ,Tractor,Freightliner,Cascadia,2017,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0141,OH-0141,OH,Available,548579.00,Unknown
CLHQ-V-0142,CL-HQ,Truck,Ford,F-650,2018,Class 6,,legacy-fleet-identifier,CERT-CLHQ-VEH-0142,OH-0142,OH,Available,556498.00,Unknown
CLHQ-V-0143,CL-HQ,Van,Ford,Transit,2019,Class 2b,,legacy-fleet-identifier,CERT-CLHQ-VEH-0143,OH-0143,OH,Available,564417.00,Unknown
CLHQ-V-0144,CL-HQ,Truck,Isuzu,NPR-HD,2020,Class 5,,legacy-fleet-identifier,CERT-CLHQ-VEH-0144,OH-0144,OH,Available,572336.00,Unknown
CLHQ-V-0145,CL-HQ,Tractor,Volvo,VNL 760,2021,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0145,OH-0145,OH,Available,580255.00,Unknown
CLHQ-V-0146,CL-HQ,Tractor,Freightliner,Cascadia,2022,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0146,OH-0146,OH,Available,588174.00,Unknown
CLHQ-V-0147,CL-HQ,Truck,Ford,F-650,2023,Class 6,,legacy-fleet-identifier,CERT-CLHQ-VEH-0147,OH-0147,OH,Available,596093.00,Unknown
CLHQ-V-0148,CL-HQ,Van,Ford,Transit,2024,Class 2b,,legacy-fleet-identifier,CERT-CLHQ-VEH-0148,OH-0148,OH,Available,604012.00,Unknown
